Unit Name	ID	Algo Verified	Name	Date Created
$AVO	397111682	TBD	ALGO AVOCADO	Nov 4, 2021
ABSKT	353409462	TBD	AlgoBasket	Oct 2, 2021
ACAT	430838314	TBD	Astrocat	Nov 19, 2021
ACORN	226265212	TBD	AlgoNuts	Jun 21, 2021
ACRES	555540865	TBD	80Acres	Jan 20, 2022
ADVENTUR	426526699	TBD	Adventure Coin	Nov 17, 2021
AFD	393495312	TBD	Algorand Faucet Drops	Nov 2, 2021
AGNR	305992851	TBD	Algoneer	Aug 18, 2021
AGR	453816186	TBD	Aegir	Dec 3, 2021
AIRSHO	457205263	TBD	AIRSHO Coin	Dec 6, 2021
AKTA	523683256	TBD	Akita Inu	Jan 5, 2022
AL	447852812	TBD	ALGO LITE	Nov 30, 2021
