"query","answer"
"coin","ALT"
"token","algo"
"price",0.308958
"changeFor24H",1.7309
"changeFor7D",-12.96261
"changeFor30D",-9.43751
"changeFor1Y",-73.15417
"ath",3.56
"athChangePercent",-91.33012
"atl",0.105336
"atlChangePercent",193.10898
"volumeUSDSpot",66945860
"volumeUSDSpotChangePercent",-2.55415886
"circulatingSupply",6898661376.611
"maxSupply",10000000000
"totalSupply",7320941753.08979
"exchangeReserve",
"dexVolume",
"dexVolumeChangePercent",
"numOfDexTrade",
"numOfDexTradePercent",
"tokenTransferred",
"tokenTransferredChangePercent",
"transactionCount",
"transactionCountChangePercent",
"activeAddressesCount",
"totalValueLockedUsd",
"marketCap",2129628946
"fullyDilutedMarketCap",3087017655
"nvt",
