"First Name","Last Name","Organization","Title","LinkedIn","Twitter","Telegram","Discord"
"Adam","Mazzaferro","@Pay","Founder","https://www.linkedin.com/in/adam-mazzaferro-3493a647/","TBD","TBD","TBD"
"ibu","Karel","AB2 Gallery + Algofi + 
AlgoHQ","Community Liaison + Community Manager + Founder and Host","https://www.linkedin.com/in/ibukarel/","https://twitter.com/iBUKAR3L","TBD","TBD"
"John","Clarke","Algofi","Co-Founder","https://www.linkedin.com/in/jaclarke1/","https://twitter.com/jaclarke__","https://t.me/jaclarke","jaclarke#4253"
"Owen","Colegrove","Algofi","Co-Founder","https://www.linkedin.com/in/owencolegrove/","https://twitter.com/stblbuild","https://t.me/ocolegro","OwenC#2542"
"Paul","Colella","Algofi","Founding Engineer","https://www.linkedin.com/in/paul-colella-b4bb6284/","https://twitter.com/PaulColella_","https://t.me/paulcolella","Paul-Colella#0153"
"Maksim","Ivanov","Algofi","Software Engineer","https://www.linkedin.com/in/maksivanov/","https://twitter.com/speedinternet_","https://t.me/ivanovm0","ivanovm [will not dm]#5342"
"Matthew","Lam","Algofi","Product Manager","https://www.linkedin.com/in/matthewlam175/","TBD","TBD","TBD"
"Armstrong","Park","Algofi","Core Engineer","https://www.linkedin.com/in/armstrong-park-0584b8235/","https://twitter.com/strongarm677","https://t.me/strongarm676","strongarm676 [will not dm]#485"
"Wilder","Stubbs","Algogems","CMO","https://www.linkedin.com/in/wilder-stubbs-536498229/","TBD","TBD","TBD"
"Michael","Cotton","Algomint + Meld Ventures","Co-Founder + Co-Founder","https://www.linkedin.com/in/michael-cotton-aus/","TBD","TBD","TBD"
"Nissan","Dookeran","Algomint","CTO","https://www.linkedin.com/in/nissandookeran/","TBD","TBD","TBD"
"Kumar","Gaurav","Algomint","Software Engineer","https://www.linkedin.com/in/arkhaminferno/","TBD","TBD","TBD"
"AJ","Milne","Algomint + Meld Ventures","Co-Founder + 
Founder | CEO | Managing Partner","https://www.linkedin.com/in/astleymilne/","TBD","TBD","TBD"
"Herry","Xu","Algomint","CTO","https://www.linkedin.com/in/herry-xu/","TBD","TBD","TBD"
