"Name (20 Char Max)","Index","Verified","TX","Total in Circ","Dly Uniq Users","Dly Uniq Sndrs","Dly Uniq Rcvrs","Dly Actv Addrs","Ecosys Votes"
"AlgoStake",511484048,"Yes",1801388,24519301012,43356,90,1043,1066,64
"Yieldly",226701642,"Yes",6398034,10000000000000000,188838,341,303,428,239
"Defly Token",470842789,"Yes",638546,646851200694139,32075,140,530,562,38
"AlgoGems",230946361,"Yes",553073,9999791677660,113293,13,9,16,44
"Xfinite Entertainmen",283820866,"Yes",1729284,4000000000000000000,516315,143,77,169,1632
"goMINT",441139422,"Yes",139108,130424156705734,7576,52,54,65,99
"Choice Coin",297995609,"TBD",1288239,99999927606,34155,26,28,35,1612
"ZONE",444035862,"Yes",3723113,1000000000000000,123317,327,2306,2453,303
"PLANET",27165954,"Yes",343749058,1862963501308059,160722,420,11183,11315,3
"Vote Coin",452399768,"Yes",654725,3548714942152,1580,27,105,108,31
"USDC",31566704,"Yes",9644154,132770501470291,3877981,1401,791,1607,29
"Tether USDt",312769,"Yes",4880926,134999938897207,2617343,913,332,973,14
"Shosha",412056867,"Yes",36689,12694978238300,2998,2,2,4,29
"HEADLINE",137594422,"Yes",712919,24412003904005,31231,62,64,91,85
"Glitter Finance",607591690,"Yes",148971,53782849192339,8570,59,89,104,16
"Webblen",509808838,"Yes",111836,1141477137149137900,5224,6,6,9,14
"SockHODLER",452047208,"Yes",101560,53355842571489,10418,18,30,42,31
"KryptoNurd",330168845,"Yes",412491,27258556423,5036,10,17,18,12
"Board",342889824,"Yes",348374,10000000000000000,30235,15,15,24,23
"Chips",388592191,"Yes",530494,3270598288,9101,82,812,830,61
"AlgoFund",463554836,"Yes",135722,37766644737428,4391,6,10,12,13175
"Zenny",317670428,"Yes",60102,10000000000000000,6789,1,1,2,23
"Kaafila",239444645,"Yes",117331,49999999000,90810,250,108,301,12803
"Octorand",559219992,"Yes",180483,762599708297,11761,10,12,16,81
"AlgOcean",409604194,"Yes",109078,132745322042,4112,10,17,21,17
"ASA Portfolio",542132831,"Yes",37698,1000000000000000,1346,1,1,2,17
"BirdBot",478549868,"TBD",263564,7015757580,5399,10,9,14,21
"AlgoScout Token",569120128,"Yes",592372,983650344580522,4320,16,1012,1015,10
"NEKOIN",404044168,"Yes",195251,75999980400000,37384,3,35,37,9
"Svansy Coin",388502764,"Yes",182280,301420420420420400,14555,8,9,12,21
"Nexus",403499324,"Yes",168758,10000000000,12682,18,79,87,202
"Loot Box",408898501,"Yes",95954,100000000,5833,18,77,83,6
"Smile Coin",300208676,"Yes",2503984,8376082729327175,111675,219,141,244,44
"Parsec AU",546713076,"TBD",36174,90024512226647,9975,1,1,2,3
"Algoneer",305992851,"Yes",35919,4450000000,4187,3,3,5,3
"CryptoTrees",444108880,"Yes",747847,36522298873,22313,36,361,368,1159
"ASA Stats Token",393537671,"Yes",172168,552931426113491,11673,50,61,68,23
"SUPERIO",433379445,"Yes",189475,447810873,2064,7,6,11,8
"Aegir",453816186,"TBD",14144,627276552494,1085,0,0,0,15
"LionCoin",372666897,"TBD",31862,4463732138,213,0,0,0,3
"SeedBomb",523605642,"Yes",33775,864513267097078,7014,3,1,4,2
"ALGO FAM TOKEN",142838028,"Yes",38835,999984,6595,6,4,8,710
"Crescendo",435335235,"Yes",252181,1500000000,6980,4,3,5,32
"Dark Coin",601894079,"Yes",111142,500000000,865,9,295,298,0
"Raptor Coin",426980914,"TBD",49128,10000000000,4235,2,3,4,16
"Wageroo",575353596,"Yes",34801,301448931077,934,3,2,5,1
"AKITA INU",523683256,"Yes",510594,999999550861258,16483,41,74,89,94
"Opulous",287867876,"Yes",3834552,1693152753368697900,2148178,709,287,831,160
"SIGN.NET",266846137,"Yes",7207,629999938341249,1211,4,3,4,16
"Tinychart Token",378382099,"TBD",211458,99996941925,9929,2,4,4,110
"GARD",684649988,"Yes",140245,16520000001017418000,4864,40,47,51,206
"MariCoin",499213551,"Yes",66307,463350823838,13548,36,40,56,115
"Algodex Token",724480511,"Yes",168104,6000000000000000,38466,96,12,102,92
"AIRSHO Coin",457205263,"TBD",4579,227356564,2501,0,0,0,12
"Karen Coin",568879303,"Yes",22084,860062999000000000,7538,1,1,2,3
"Algorand Faucet Drop",393495312,"Yes",363400,2972456516773852,3265,20,941,943,17
"MoonX",535221681,"TBD",45255,297587273717114600,4303,0,0,0,5
"Asia Reserve Currenc",163650,"TBD",489269,88616203192881800,45199,10,8,13,0
