"Name (20 Char Max)","Index","Verified","TX","Total in Circ","Dly Uniq Users","Dly Uniq Sndrs","Dly Uniq Rcvrs","Dly Actv Addrs","Ecosys Votes"
"genpyteal","TBD","TBD","TBD","TBD","TBD","TBD","TBD","TBD",0
"Pact","TBD","TBD","TBD","TBD","TBD","TBD","TBD","TBD",359
"KissBits","TBD","TBD","TBD","TBD","TBD","TBD","TBD","TBD",11
"Mailchain","TBD","TBD","TBD","TBD","TBD","TBD","TBD","TBD",1
"AlgoCats","TBD","TBD","TBD","TBD","TBD","TBD","TBD","TBD",7
"WAGMIswap.io","TBD","TBD","TBD","TBD","TBD","TBD","TBD","TBD",4
"Mint Engine","TBD","TBD","TBD","TBD","TBD","TBD","TBD","TBD",1
"Industrial Punk","TBD","TBD","TBD","TBD","TBD","TBD","TBD","TBD",5
"Coffee DAO","TBD","TBD","TBD","TBD","TBD","TBD","TBD","TBD",21
"Neutral Token","TBD","TBD","TBD","TBD","TBD","TBD","TBD","TBD",66
"AlgoWeirdo","TBD","TBD","TBD","TBD","TBD","TBD","TBD","TBD",0
"ALGO LITE",447852812,"TBD",18638,99997917229,1,5311,0,0,0
"G-raffe","TBD","TBD","TBD","TBD","TBD","TBD","TBD","TBD",14
"AXELSTAKE","TBD","TBD","TBD","TBD","TBD","TBD","TBD","TBD",0
"tinyhorse","TBD","TBD","TBD","TBD","TBD","TBD","TBD","TBD",7
"Algonauts Offic","TBD","TBD","TBD","TBD","TBD","TBD","TBD","TBD",5
"Algo Curator","TBD","TBD","TBD","TBD","TBD","TBD","TBD","TBD",19
"The Algonautz","TBD","TBD","TBD","TBD","TBD","TBD","TBD","TBD",12
"Space Pilots","TBD","TBD","TBD","TBD","TBD","TBD","TBD","TBD",3
"Alex","TBD","TBD","TBD","TBD","TBD","TBD","TBD","TBD",8
"Algoracle","TBD","TBD","TBD","TBD","TBD","TBD","TBD","TBD",24
"Algo Gaming Gui","TBD","TBD","TBD","TBD","TBD","TBD","TBD","TBD",14
"Wayru","TBD","TBD","TBD","TBD","TBD","TBD","TBD","TBD",17
"Candy Go","TBD","TBD","TBD","TBD","TBD","TBD","TBD","TBD",0
"Algorand Name","TBD","TBD","TBD","TBD","TBD","TBD","TBD","TBD",33
"Algo Lite","TBD","TBD","TBD","TBD","TBD","TBD","TBD","TBD",1
"EXTREMELY BULLI","TBD","TBD","TBD","TBD","TBD","TBD","TBD","TBD",45
"Ettle","TBD","TBD","TBD","TBD","TBD","TBD","TBD","TBD",0
"Openfabric","TBD","TBD","TBD","TBD","TBD","TBD","TBD","TBD",1809
"Land of Alegra","TBD","TBD","TBD","TBD","TBD","TBD","TBD","TBD",13
"AlgoDAO","TBD","TBD","TBD","TBD","TBD","TBD","TBD","TBD",26
"Angry Penguins","TBD","TBD","TBD","TBD","TBD","TBD","TBD","TBD",2
"APPs","TBD","TBD","TBD","TBD","TBD","TBD","TBD","TBD",15
