"Title (20 Char Max)","Created Date","USDT Value","Exp. Level","Interested #","Proj. Type","URL"
"[Japan Community] Ho",2022-06-15,461.32,"Intermediate",2,"multiple","https://gitcoin.co/issue/28982"
"Algorand Korean Comm",2022-05-16,1000,"Advanced",4,"cooperative","https://gitcoin.co/issue/28868"
"Update Ecosystem SDK",2022-05-09,768.86,"Advanced",3,"contest","https://gitcoin.co/issue/28847"
"Algorand Ecosystem &",2022-05-05,645.84,"Advanced",11,"cooperative","https://gitcoin.co/issue/28845"
"Improve Algorand Cod",2022-05-02,615.09,"Intermediate",12,"cooperative","https://gitcoin.co/issue/28833"
"Reach Smart Contract",2022-05-02,384.43,"Intermediate",2,"cooperative","https://gitcoin.co/issue/28832"
"PyTeal Smart Contrac",2022-05-02,384.43,"Intermediate",1,"cooperative","https://gitcoin.co/issue/28831"
"Code Solutions And T",2022-04-27,169.15,"Intermediate",3,"cooperative","https://gitcoin.co/issue/28807"
"Design a Student Clu",2022-04-16,76.89,"Intermediate",14,"cooperative","https://gitcoin.co/issue/28749"
"Algorand Community E",2022-04-11,15.38,"Intermediate",10,"cooperative","https://gitcoin.co/issue/28716"
